[I 2024-12-03 05:05:57,699] Using an existing study with name 'SST-2-GATv2-facebook-bart-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:10:04,410] Trial 137 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5973736469945329, 'batch_size': 111, 'attention_heads': 11, 'hidden_dimension': 51, 'number_of_hidden_layers': 3, 'dropout_rate': 0.41946052633916214, 'global_pooling': 'max', 'learning_rate': 0.0012420954341620801, 'weight_decay': 6.278651230241999e-05, 'beta_0': 0.8342667813506597, 'beta_1': 0.9897271852962058, 'epsilon': 2.0944852661910325e-07, 'balanced_loss': True, 'epochs': 61, 'early_stopping_patience': 18, 'plateau_patience': 11, 'plateau_divider': 3}. Best is trial 133 with value: 0.9220183486238532.
[I 2024-12-03 06:01:39,189] Trial 148 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6076790975795415, 'batch_size': 44, 'attention_heads': 9, 'hidden_dimension': 55, 'number_of_hidden_layers': 3, 'dropout_rate': 0.450760146201924, 'global_pooling': 'max', 'learning_rate': 0.0018921584588207437, 'weight_decay': 3.360137615492012e-05, 'beta_0': 0.8368780972472329, 'beta_1': 0.9988457127520581, 'epsilon': 9.69487174237538e-07, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 22, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 06:06:25,273] Trial 149 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5882602282510417, 'batch_size': 52, 'attention_heads': 11, 'hidden_dimension': 70, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4602476647955134, 'global_pooling': 'max', 'learning_rate': 0.0025108963169361387, 'weight_decay': 4.6871285577494695e-05, 'beta_0': 0.8322207406738827, 'beta_1': 0.9854638872583414, 'epsilon': 1.1592634958312128e-06, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 06:11:46,941] Trial 150 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5775731937477976, 'batch_size': 47, 'attention_heads': 11, 'hidden_dimension': 59, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4309177577508125, 'global_pooling': 'max', 'learning_rate': 0.0036498458644698994, 'weight_decay': 7.011060967455127e-05, 'beta_0': 0.8384531679249524, 'beta_1': 0.9846540442165354, 'epsilon': 8.262366545123007e-07, 'balanced_loss': False, 'epochs': 58, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 06:16:19,099] Trial 151 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.563038535713342, 'batch_size': 56, 'attention_heads': 10, 'hidden_dimension': 46, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4523053839662943, 'global_pooling': 'max', 'learning_rate': 0.005089647832017477, 'weight_decay': 5.3020617943897424e-05, 'beta_0': 0.8354181391242905, 'beta_1': 0.9831733019624637, 'epsilon': 9.946117915792323e-07, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 06:21:24,064] Trial 152 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5973157573824536, 'batch_size': 39, 'attention_heads': 11, 'hidden_dimension': 42, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4843694003385178, 'global_pooling': 'max', 'learning_rate': 0.0016902865826221695, 'weight_decay': 0.00010581972439329567, 'beta_0': 0.843712649880186, 'beta_1': 0.9843611174929832, 'epsilon': 2.741218580682333e-08, 'balanced_loss': False, 'epochs': 68, 'early_stopping_patience': 23, 'plateau_patience': 10, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 06:26:20,981] Trial 153 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6213277717908932, 'batch_size': 33, 'attention_heads': 13, 'hidden_dimension': 52, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4427223595435488, 'global_pooling': 'max', 'learning_rate': 0.0021311775543810937, 'weight_decay': 9.390399902060101e-05, 'beta_0': 0.8493218940796373, 'beta_1': 0.9861185358174819, 'epsilon': 6.559679135924368e-07, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 06:31:33,624] Trial 154 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6363101287005181, 'batch_size': 129, 'attention_heads': 12, 'hidden_dimension': 92, 'number_of_hidden_layers': 4, 'dropout_rate': 0.469426289611335, 'global_pooling': 'max', 'learning_rate': 0.0013372162432841463, 'weight_decay': 2.074625507900304e-05, 'beta_0': 0.8242099163241933, 'beta_1': 0.9851705029356923, 'epsilon': 1.3263751094791868e-06, 'balanced_loss': False, 'epochs': 66, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 06:36:11,875] Trial 155 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.608722716432026, 'batch_size': 46, 'attention_heads': 11, 'hidden_dimension': 39, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4478496007616132, 'global_pooling': 'max', 'learning_rate': 0.0007607808207591927, 'weight_decay': 0.00011402175378748222, 'beta_0': 0.8415036646962079, 'beta_1': 0.9855389736097863, 'epsilon': 4.1410101732352764e-07, 'balanced_loss': True, 'epochs': 74, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 06:40:29,669] Trial 156 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6994592528919221, 'batch_size': 124, 'attention_heads': 12, 'hidden_dimension': 47, 'number_of_hidden_layers': 4, 'dropout_rate': 0.4612084854811523, 'global_pooling': 'max', 'learning_rate': 0.0032691176839381403, 'weight_decay': 2.4524527440221003e-05, 'beta_0': 0.8518692306340111, 'beta_1': 0.9866291327266685, 'epsilon': 1.8280673844751749e-06, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 06:45:34,439] Trial 157 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6548438198576233, 'batch_size': 60, 'attention_heads': 13, 'hidden_dimension': 108, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4376894066035066, 'global_pooling': 'max', 'learning_rate': 0.00163502176567633, 'weight_decay': 7.875176970399526e-05, 'beta_0': 0.8450394961694161, 'beta_1': 0.9858712747508352, 'epsilon': 1.5275739074677376e-08, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 06:50:49,014] Trial 158 finished with value: 0.911697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6556016428080308, 'batch_size': 60, 'attention_heads': 14, 'hidden_dimension': 105, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42449671839970393, 'global_pooling': 'max', 'learning_rate': 0.0026446054471813557, 'weight_decay': 6.586802246938796e-05, 'beta_0': 0.8310129721538088, 'beta_1': 0.9837968942208313, 'epsilon': 1.6262064380230782e-07, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 06:56:20,949] Trial 159 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5710025483795211, 'batch_size': 50, 'attention_heads': 13, 'hidden_dimension': 112, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43623415049581477, 'global_pooling': 'max', 'learning_rate': 0.0015223101482113508, 'weight_decay': 8.646612922158273e-05, 'beta_0': 0.845535818873465, 'beta_1': 0.9851920125989915, 'epsilon': 5.486164401242063e-07, 'balanced_loss': False, 'epochs': 56, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 10}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 07:01:19,264] Trial 160 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.644123890068917, 'batch_size': 43, 'attention_heads': 13, 'hidden_dimension': 81, 'number_of_hidden_layers': 3, 'dropout_rate': 0.44395518823707425, 'global_pooling': 'mean', 'learning_rate': 0.002083585103843304, 'weight_decay': 3.50784583906261e-05, 'beta_0': 0.8502631906600685, 'beta_1': 0.985664860192388, 'epsilon': 1.0882428143890252e-06, 'balanced_loss': False, 'epochs': 52, 'early_stopping_patience': 23, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 07:06:57,581] Trial 161 finished with value: 0.9128440366972477 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.619830348495983, 'batch_size': 37, 'attention_heads': 13, 'hidden_dimension': 109, 'number_of_hidden_layers': 3, 'dropout_rate': 0.43280212861335327, 'global_pooling': 'max', 'learning_rate': 0.0017039377801982484, 'weight_decay': 7.78524734243597e-05, 'beta_0': 0.8471737710544713, 'beta_1': 0.9919380560084227, 'epsilon': 3.1828759855782376e-07, 'balanced_loss': False, 'epochs': 61, 'early_stopping_patience': 20, 'plateau_patience': 10, 'plateau_divider': 9}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 07:11:19,890] Trial 162 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6729970122871847, 'batch_size': 53, 'attention_heads': 5, 'hidden_dimension': 97, 'number_of_hidden_layers': 3, 'dropout_rate': 0.49233883608520723, 'global_pooling': 'max', 'learning_rate': 0.0011840020264321399, 'weight_decay': 6.093297804312425e-05, 'beta_0': 0.8434443076637442, 'beta_1': 0.9862908501301351, 'epsilon': 1.2428596172099562e-08, 'balanced_loss': False, 'epochs': 64, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 07:19:21,245] Trial 163 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6882884185089673, 'batch_size': 115, 'attention_heads': 12, 'hidden_dimension': 229, 'number_of_hidden_layers': 4, 'dropout_rate': 0.5045772414803258, 'global_pooling': 'max', 'learning_rate': 0.0010968093159699247, 'weight_decay': 9.73232119911263e-05, 'beta_0': 0.8380858308896955, 'beta_1': 0.9864434159754619, 'epsilon': 1.4893452545143579e-08, 'balanced_loss': False, 'epochs': 55, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 07:23:48,706] Trial 164 finished with value: 0.9128440366972477 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6619406485708068, 'batch_size': 146, 'attention_heads': 12, 'hidden_dimension': 57, 'number_of_hidden_layers': 4, 'dropout_rate': 0.47752888085303713, 'global_pooling': 'max', 'learning_rate': 0.0008343600613033253, 'weight_decay': 1.424368262363806e-05, 'beta_0': 0.8481562742018829, 'beta_1': 0.9868810541986199, 'epsilon': 1.0347102320760605e-08, 'balanced_loss': True, 'epochs': 70, 'early_stopping_patience': 20, 'plateau_patience': 11, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 07:27:46,646] Trial 165 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5933667200014808, 'batch_size': 110, 'attention_heads': 13, 'hidden_dimension': 40, 'number_of_hidden_layers': 2, 'dropout_rate': 0.5163224880808458, 'global_pooling': 'max', 'learning_rate': 0.0013804610007412453, 'weight_decay': 0.00015229529942190295, 'beta_0': 0.8449511437203774, 'beta_1': 0.9879680766160585, 'epsilon': 1.4713785866941445e-08, 'balanced_loss': False, 'epochs': 59, 'early_stopping_patience': 19, 'plateau_patience': 25, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 07:33:22,210] Trial 166 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6334335834660464, 'batch_size': 120, 'attention_heads': 12, 'hidden_dimension': 120, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4399880211552817, 'global_pooling': 'max', 'learning_rate': 0.0005688550357560736, 'weight_decay': 0.00011701459101412223, 'beta_0': 0.8422610678111163, 'beta_1': 0.9857579571184073, 'epsilon': 2.513535361015903e-08, 'balanced_loss': False, 'epochs': 50, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 07:38:06,740] Trial 167 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6472186352677499, 'batch_size': 40, 'attention_heads': 12, 'hidden_dimension': 65, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4147792058802653, 'global_pooling': 'max', 'learning_rate': 0.0023673697036156512, 'weight_decay': 3.3460225384395174e-06, 'beta_0': 0.8357595217331852, 'beta_1': 0.9905438326003008, 'epsilon': 1.9027004880750798e-05, 'balanced_loss': True, 'epochs': 68, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 07:43:10,768] Trial 168 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6438824443431415, 'batch_size': 46, 'attention_heads': 13, 'hidden_dimension': 71, 'number_of_hidden_layers': 3, 'dropout_rate': 0.40792132523822644, 'global_pooling': 'sum', 'learning_rate': 0.002358342045803925, 'weight_decay': 3.911592406474528e-06, 'beta_0': 0.8352570438257507, 'beta_1': 0.990624254514581, 'epsilon': 1.8681264018874505e-05, 'balanced_loss': False, 'epochs': 62, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 07:47:55,669] Trial 169 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.6041183860971644, 'batch_size': 36, 'attention_heads': 14, 'hidden_dimension': 61, 'number_of_hidden_layers': 3, 'dropout_rate': 0.3884273348443031, 'global_pooling': 'max', 'learning_rate': 0.0029667562094151563, 'weight_decay': 1.705331824242042e-06, 'beta_0': 0.8394200302042354, 'beta_1': 0.9911192218601481, 'epsilon': 1.504004280353581e-05, 'balanced_loss': False, 'epochs': 53, 'early_stopping_patience': 20, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 07:52:21,766] Trial 170 finished with value: 0.9128440366972477 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6178231032022842, 'batch_size': 57, 'attention_heads': 10, 'hidden_dimension': 68, 'number_of_hidden_layers': 3, 'dropout_rate': 0.42917806366419703, 'global_pooling': 'max', 'learning_rate': 0.0043100514273425716, 'weight_decay': 9.631423527132801e-06, 'beta_0': 0.8300667948857349, 'beta_1': 0.9903450166869543, 'epsilon': 2.981355833973735e-05, 'balanced_loss': True, 'epochs': 57, 'early_stopping_patience': 21, 'plateau_patience': 10, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 07:57:05,948] Trial 171 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6477044963800049, 'batch_size': 39, 'attention_heads': 11, 'hidden_dimension': 51, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4153683542798004, 'global_pooling': 'max', 'learning_rate': 0.006761201440349126, 'weight_decay': 4.136122995069185e-05, 'beta_0': 0.8366075425933728, 'beta_1': 0.9897850548415922, 'epsilon': 4.0764309984373414e-05, 'balanced_loss': False, 'epochs': 65, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 08:01:01,159] Trial 172 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6712974401225618, 'batch_size': 134, 'attention_heads': 12, 'hidden_dimension': 103, 'number_of_hidden_layers': 0, 'dropout_rate': 0.537146051590529, 'global_pooling': 'max', 'learning_rate': 0.0019411750353505925, 'weight_decay': 4.856295029945525e-06, 'beta_0': 0.8403019805005769, 'beta_1': 0.9871710945671313, 'epsilon': 2.3862184615983477e-05, 'balanced_loss': True, 'epochs': 68, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 08:05:28,412] Trial 173 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6539075928600447, 'batch_size': 43, 'attention_heads': 12, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3972213293127656, 'global_pooling': 'max', 'learning_rate': 0.0016468794887130444, 'weight_decay': 7.639656031608213e-05, 'beta_0': 0.8343956053597696, 'beta_1': 0.9915176669172825, 'epsilon': 1.725154563246078e-05, 'balanced_loss': True, 'epochs': 69, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 141 with value: 0.9254587155963303.
[I 2024-12-03 08:10:25,569] Trial 174 finished with value: 0.9139908256880734 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6805712423880271, 'batch_size': 48, 'attention_heads': 12, 'hidden_dimension': 76, 'number_of_hidden_layers': 3, 'dropout_rate': 0.5258584919388929, 'global_pooling': 'max', 'learning_rate': 0.0010856119835256771, 'weight_decay': 9.337938792874661e-05, 'beta_0': 0.8460172517581094, 'beta_1': 0.9909214928390848, 'epsilon': 1.4735413426212938e-06, 'balanced_loss': True, 'epochs': 60, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 141 with value: 0.9254587155963303.
